geo,Name,TIME_PERIOD,GHGperGDP,PriceAdjOil,GDPperCap,OilCperGDP,GDPgrowth,OilDep,SRE,PosSupplyShock,NegSupplyShock,GHG,GDP,Pop,OilCons
AT,Austria,2007,166.1798030583688,80.23,43939.28603124123,47.911472689587164,3.7274153009350743,91.951,29,0,1,60570000,364484.726093492,8295190.000000001,17463000
AT,Austria,2008,158.4066326984556,99.98,44439.82091389478,46.09151680343421,1.4604236757385085,92.869,29.7,1,0,58580000,369807.747327812,8321540.000000001,17045000
AT,Austria,2009,166.3734803225855,66,42664.61653947069,49.23205115237325,-3.764578177916667,91.548,31.3,0,1,59210000,355886.045571664,8341480,17521000
AT,Austria,2010,167.29024308890916,80.97,43346.60583053078,49.615918707319224,1.8370936768003985,90.413,31.2,0,0,60630000,362424.005611476,8361070,17982000
AT,Austria,2011,173.79908450270233,104.36,44467.49604554242,51.627684241139,2.9227972836859393,92.321,31.6,0,0,64830000,373016.924602914,8388530.000000001,19258000
AT,Austria,2012,157.39368130498414,106.34,44569.3431368122,47.0397018090653,0.6804455768166284,92.244,34.4,0,0,59110000,375555.10176715197,8426310,17666000
AT,Austria,2013,167.14987861759695,100.71,44312.92839937102,49.81220781481883,0.025504712197311027,92.439,34.6,0,0,62790000,375650.886015,8477230,18712000
AT,Austria,2014,184.40505841037213,90.31,44257.731902144675,55.08615182400763,0.6612728488524834,91.424,35.7,0,0,69730000,378134.963330691,8543930,20830000
AT,Austria,2015,186.480052941235,49.66,44263.31343232799,55.98590386281497,1.0145015859052362,93.843,34.8,0,0,71230000,381971.148530543,8629520,21385000
AT,Austria,2016,191.15937336822475,41.31,44574.22123692517,56.92426834717003,1.9894371623045077,91.806,34.6,0,0,74470000,389570.224508691,8739810,22176000
AT,Austria,2017,197.4049432306193,52.43,45294.574142638885,58.33034926055316,2.2585724325067513,92.216,34,0,1,78640000,398368.95020469895,8795070,23237000
AT,Austria,2018,198.85747269624014,67.89,46169.30544284187,61.985496665433885,2.4253853608807403,93.986,34.1,1,0,81140000,408030.932405258,8837710,25292000
AT,Austria,2019,218.74646838636744,63.35,46628.33142133101,68.14115553588367,1.4505291839317211,95.658,34,0,1,90550000,413949.540159265,8877640,28207000
AT,Austria,2020,64.50322511403232,40.99,43344.03994780107,20.269485180237833,-6.6329914366255736,97.49,35.8,0,0,24930000,386492.30260855,8916850,7834000
BE,Belgium,1995,1175.6845292483683,25.66,31329.307940403967,928.5697350563603,0,99.566,1.3,0,0,373380000,317585.194591875,10137000,294900000
BE,Belgium,1996,1186.3624642927073,30.2,31680.804085917494,955.9268998465926,1.3214509304132274,100.453,1.2,1,0,381750000,321781.927100664,10157000,307600000
BE,Belgium,1997,1205.9370834070507,28.56,32805.149958596994,998.2357762691132,3.7936576295017197,99.601,1.2,0,0,402770000,333989.231728476,10181000,333400000
BE,Belgium,1998,1169.314302811525,19.2,33376.60100990513,1018.378202448611,1.9618082719842784,101.779,1.3,1,1,398200000,340541.460104062,10203000,346800000
BE,Belgium,1999,1179.6170084732194,27.19,34481.31922773822,906.1105789469481,3.5427434636306545,96.617,1.4,0,1,415940000,352605.97042285104,10226000,319500000
BE,Belgium,2000,1249.729281492415,44.3,35675.661285049944,797.8973488961288,3.7166793842089385,100.157,1.4,1,1,457040000,365711.203833047,10251000,291800000
BE,Belgium,2001,1259.0449369824598,37.6,35941.73552105735,753.2470085489357,1.0996188877784174,100.821,1.6,0,1,465510000,369732.633305117,10287000,278500000
BE,Belgium,2002,1263.7632245460304,38.46,36392.484527919485,666.4121879326541,1.7068845845335396,98.924,1.7,0,1,475230000,376043.542626992,10333000,250600000
BE,Belgium,2003,1287.1801748192092,40.55,36617.84974712905,736.9452601917527,1.03798254902911,100.801,1.9,1,1,489060000,379946.808976211,10376000,280000000
BE,Belgium,2004,1289.9873528792743,48.64,37761.777748855195,629.9625017803756,3.5712043433581218,99.813,2,1,1,507630000,393515.48592082004,10421000,247900000
BE,Belgium,2005,1234.9874016460767,65.99,38424.6474634947,572.4547953414054,2.321737053819352,100.759,2.4,1,0,497270000,402651.880769961,10479000,230500000
BE,Belgium,2006,1015.8890141431152,77.06,39147.60768126213,359.8681911408304,2.5523499436634784,100.778,2.9,0,0,419490000,412928.965821953,10548000,148600000
BE,Belgium,2007,1047.4598538534133,80.23,40289.09025702362,361.58772913611574,3.676881135949793,97.391,3.4,0,1,448430000,428111.873071133,10626000,154800000
BE,Belgium,2008,1046.8223039849104,99.98,40151.748650888425,356.723257133653,0.4469287352757215,101.262,4,1,0,450160000,430025.228051015,10710000,153400000
BE,Belgium,2009,890.8339777426361,66,39027.0028799222,308.30535969725696,-2.020743061694066,99.182,4.9,0,1,375340000,421335.52309164003,10796000,129900000
BE,Belgium,2010,1038.9618042609357,80.97,39776.41389080929,355.5575607644189,2.8642927076417277,101.319,6.3,0,0,450290000,433403.805754258,10896000,154100000
BE,Belgium,2011,989.9990594507875,104.36,39930.05014313127,335.11220855498306,1.6945138986133172,100.535,6.7,0,0,436340000,440747.893479883,11038000,147700000
BE,Belgium,2012,957.6898082221707,106.34,39975.32889918097,322.29295789613053,0.7392172830586107,99.213,7.7,0,0,425220000,444005.978083203,11107000,143100000
BE,Belgium,2013,980.932327244494,100.71,39971.77532696424,327.5453970160913,0.45924219290778867,101.92,8.3,0,0,437540000,446045.040873594,11159000,146100000
BE,Belgium,2014,931.4787722101636,90.31,40421.6263428941,307.4471447466491,1.5785331432260803,100.992,9.1,0,0,422040000,453086.0096775,11209000,139300000
BE,Belgium,2015,886.304282642523,49.66,41009.00965420294,292.8608728550104,2.0414590091995395,103.78,9.4,0,0,409770000,462335.574841484,11274000,135400000
BE,Belgium,2016,848.3700504109809,41.31,41319.55844427412,280.4405529178293,1.266686409020962,98.694,9.2,0,0,397200000,468191.91673207004,11331000,131300000.00000001
BE,Belgium,2017,853.1980232394579,52.43,41826.34379608519,280.5950190980406,1.6195802783879145,97.055,9.7,0,1,405930000,475774.660680469,11375000,133500000
BE,Belgium,2018,826.2354658538952,67.89,42382.518560317665,270.69716249767754,1.792945193020693,100.677,10.7,1,0,400150000,484305.03958875,11427000,131100000
BE,Belgium,2019,758.4051263065301,63.35,43098.40003706328,249.21362497330657,2.2408353310313416,101.483,10.2,0,1,375530000,495157.51802582,11489000,123400000
BE,Belgium,2020,791.6933917265212,40.99,40654.16191868672,259.21515504979936,-5.260779185975256,102.725,12.3,0,0,371390000,469108.374379726,11539000,121600000
DE,Germany,1995,942.3431559586121,25.66,31772.106683844886,212.12959746026482,0,95.804,2.3,0,0,2434380000,2583326.45025006,81308000,548000000
DE,Germany,1996,865.7472262923468,30.2,31966.016327647118,193.53772274103375,0.8058228914903499,97.172,2.3,1,0,2254530000,2604143.4861481,81466000,504000000
DE,Germany,1997,725.912890958299,28.56,32521.33389066446,150.1425642072293,1.792160820945863,96.725,2.8,0,0,1924260000,2650813.92542806,81510000,398000000
DE,Germany,1998,719.1370215124865,19.2,33202.36151740688,134.97524687845237,2.0139327851931244,99.171,3.1,1,1,1944690000,2704199.5361467204,81446000,365000000
DE,Germany,1999,619.3737002180452,27.19,33838.94823903761,108.15774949310729,1.8872611539946058,93.914,3.3,0,1,1706520000,2755234.84351892,81422000,298000000
DE,Germany,2000,571.4303569673359,44.3,34809.54540423033,97.3379777093988,2.91250296366686,94.592,3.7,1,1,1620280000,2835481.1399923903,81457000,276000000
DE,Germany,2001,557.4684147244077,37.6,35368.804809367866,92.2599179457667,1.6814684809710283,96.683,3.9,0,1,1607270000,2883158.8616452403,81517000,266000000
DE,Germany,2002,533.1698161099577,38.46,35272.3891427136,80.62691705450517,-0.19797383477138675,94.059,4.4,0,1,1534170000,2877450.96148429,81578000,232000000
DE,Germany,2003,554.2459597973765,40.55,35037.896812568884,84.695180292972,-0.7001166861143717,97.23,5.4,1,1,1583650000,2857305.4471681803,81549000,242000000
DE,Germany,2004,546.7778969738828,48.64,35490.096547359186,94.43486994367579,1.175088131609659,95.438,6.3,1,1,1580670000,2890881.30436169,81456000,273000000
DE,Germany,2005,547.8678994531782,65.99,35802.083798954474,108.17181058646437,0.7317071635544254,97.317,7.3,1,0,1595410000,2912034.08995556,81337000,315000000
