;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Nominal oil price;2,29;3,05;10,73;10,73;11,51;12,39;12,70;17,25;28,64;32,51;32,38;29,04;28,20;27,01;13,53;17,73;14,24;17,31;22,26;18,62;18,44;16,33;15,53;16,86;20,29;18,68;12,28;17,48;27,60;23,12;24,36;28,10;36,05;50,64;61,08;69,08;94,45;61,06;77,45;107,46;109,45;105,87;96,29;49,49;40,76;52,43;69,78;64,04;41,47;69,89;100,08
Nominal price adjusted for:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exchange rates1;1,80;2,16;7,67;7,45;8,27;8,56;7,77;10,19;17,04;21,69;23,73;22,39;23,71;24,01;10,37;12,59;9,87;12,52;16,17;14,15;14,03;13,13;14,15;14,90;18,31;17,76;12,14;17,34;28,78;24,99;26,00;28,02;34,58;48,05;57,51;61,85;80,81;53,83;68,04;91,46;96,04;93,39;85,62;47,72;40,39;52,43;69,87;67,18;44,29;74,41;125,85
Inflation2;14,87;18,60;59,23;54,78;55,57;56,28;55,11;70,33;106,39;111,55;104,67;89,87;83,51;76,26;37,22;47,23;35,93;40,92;50,38;41,29;39,14;32,77;28,86;29,04;33,47;30,03;19,42;27,41;42,47;34,80;36,04;40,66;50,71;69,54;81,85;89,61;116,87;74,86;92,16;122,62;121,19;114,17;101,56;51,51;41,69;52,43;67,80;60,39;38,38;62,42;80,14
Combined3;11,70;13,17;42,34;38,05;39,94;38,87;33,71;41,55;63,28;74,42;76,69;69,29;70,21;67,79;28,51;33,55;24,90;29,60;36,60;31,38;29,79;26,37;26,31;25,66;30,20;28,56;19,20;27,19;44,30;37,60;38,46;40,55;48,64;65,99;77,06;80,23;99,98;66,00;80,97;104,36;106,34;100,71;90,31;49,66;41,31;52,43;67,89;63,35;40,99;66,46;100,78
